Date,Ltp
1/31/2019,141
2/3/2019,139
2/4/2019,136
2/5/2019,140
2/6/2019,139
2/7/2019,137
2/10/2019,137
2/11/2019,139
2/12/2019,137
2/13/2019,137
2/14/2019,137
2/17/2019,136
2/18/2019,136
2/19/2019,139
2/20/2019,139
2/21/2019,137
2/24/2019,138
2/25/2019,138
2/26/2019,135
2/27/2019,135
3/3/2019,135
3/5/2019,135
3/6/2019,137
3/7/2019,138
3/10/2019,139
3/11/2019,142
3/12/2019,142
3/13/2019,141
3/14/2019,146
3/17/2019,145
3/18/2019,143
3/19/2019,141
3/21/2019,146
3/24/2019,141
3/25/2019,142
3/26/2019,144
3/27/2019,145
3/28/2019,144
3/31/2019,143
4/1/2019,147
4/2/2019,143
4/3/2019,147
4/4/2019,144
4/7/2019,148
4/8/2019,144
4/9/2019,145
4/10/2019,144
4/11/2019,142
4/15/2019,144
4/16/2019,146
4/17/2019,146
4/18/2019,146
4/21/2019,148
4/22/2019,147
4/23/2019,146
4/24/2019,153
4/25/2019,162
4/28/2019,157
4/29/2019,153
4/30/2019,159
5/2/2019,155
5/5/2019,151
5/6/2019,153
5/7/2019,152
5/8/2019,151
5/9/2019,150
5/12/2019,150
5/13/2019,150
5/14/2019,150
5/15/2019,155
5/16/2019,158
5/19/2019,158
5/20/2019,151
5/21/2019,153
5/22/2019,152
5/23/2019,151
5/26/2019,149
5/27/2019,151
5/28/2019,151
5/29/2019,158
5/30/2019,153
6/2/2019,154
6/3/2019,153
6/4/2019,152
6/6/2019,153
6/10/2019,152
6/11/2019,152
6/12/2019,151
6/13/2019,150
6/16/2019,150
6/17/2019,151
6/18/2019,150
6/19/2019,156
6/20/2019,153
6/23/2019,153
6/24/2019,151
6/25/2019,151
6/26/2019,150
6/27/2019,152
6/30/2019,150
7/1/2019,150
7/2/2019,154
7/3/2019,154
7/4/2019,152
7/7/2019,158
7/8/2019,157
7/9/2019,160
7/10/2019,160
7/11/2019,158
7/14/2019,159
7/15/2019,159
7/16/2019,159
7/17/2019,160
7/18/2019,159
7/21/2019,159
7/22/2019,158
7/23/2019,156
7/24/2019,158
7/25/2019,156
7/28/2019,153
7/29/2019,153
7/30/2019,154
7/31/2019,152
8/1/2019,152
8/4/2019,152
8/5/2019,152
8/6/2019,152
8/7/2019,152
8/8/2019,150
8/11/2019,152
8/12/2019,151
8/13/2019,150
8/14/2019,150
8/15/2019,147
8/18/2019,146
8/19/2019,144
8/20/2019,149
8/21/2019,147
8/22/2019,146
8/25/2019,143
8/26/2019,141
8/27/2019,143
8/28/2019,142
8/29/2019,142
9/1/2019,141
9/2/2019,140
9/3/2019,143
9/4/2019,145
9/5/2019,145
9/8/2019,141
9/9/2019,140
9/10/2019,146
9/11/2019,141
9/12/2019,139
9/15/2019,139
9/16/2019,139
9/17/2019,137
9/18/2019,140
9/22/2019,138
9/23/2019,139
9/24/2019,139
9/25/2019,138
9/26/2019,138
9/29/2019,138
9/30/2019,140
10/1/2019,139
10/2/2019,140
10/3/2019,140
10/10/2019,142
10/14/2019,140
10/15/2019,142
10/16/2019,139
10/17/2019,139
10/20/2019,137
10/21/2019,136
10/22/2019,138
10/23/2019,137
10/24/2019,139
10/31/2019,139
11/3/2019,137
11/4/2019,140
11/5/2019,140
11/6/2019,139
11/7/2019,139
11/10/2019,139
11/11/2019,139
11/12/2019,136
11/13/2019,139
11/14/2019,137
11/17/2019,137
11/18/2019,136
11/19/2019,138
11/20/2019,137
11/21/2019,136
11/24/2019,135
11/25/2019,134
11/26/2019,134
11/27/2019,137
11/28/2019,136
12/1/2019,134
12/2/2019,135
12/3/2019,140
12/4/2019,138
12/5/2019,136
12/8/2019,138
12/9/2019,142
12/10/2019,141
12/11/2019,143
12/12/2019,145
12/15/2019,140
12/16/2019,142
12/17/2019,140
12/18/2019,142
12/19/2019,141
12/22/2019,143
12/23/2019,143
12/24/2019,142
12/25/2019,143
12/26/2019,142
12/29/2019,144
12/30/2019,143
12/31/2019,138
1/1/2020,137
1/2/2020,137
1/5/2020,145
1/6/2020,149
1/7/2020,149
1/8/2020,149
1/9/2020,146
1/12/2020,150
1/13/2020,147
1/14/2020,144
1/15/2020,151
1/16/2020,158
1/19/2020,173
1/20/2020,160
1/21/2020,165
1/22/2020,158
1/23/2020,155
1/26/2020,151
1/27/2020,156
1/28/2020,162
1/29/2020,156
1/30/2020,157
2/2/2020,160
2/3/2020,163
2/4/2020,163
2/5/2020,163
2/6/2020,160
2/9/2020,154
2/10/2020,157
2/11/2020,160
2/12/2020,165
2/13/2020,164
2/16/2020,165
2/17/2020,167
2/18/2020,170
2/19/2020,169
2/20/2020,175
2/23/2020,188
2/24/2020,178
2/25/2020,186
2/26/2020,181
2/27/2020,188
3/1/2020,183
3/2/2020,172
3/3/2020,176
3/4/2020,166
3/5/2020,170
3/10/2020,157
3/11/2020,168
3/12/2020,160
3/15/2020,155
3/16/2020,155
3/17/2020,148
3/18/2020,143
3/19/2020,142
3/22/2020,143
5/13/2020,141
6/29/2020,137
6/30/2020,139
7/1/2020,143
7/2/2020,140
7/5/2020,139
7/6/2020,139
7/7/2020,145
7/8/2020,145
7/9/2020,144
7/12/2020,143
7/13/2020,144
7/14/2020,144
7/15/2020,141
7/16/2020,150
7/20/2020,154
7/21/2020,154
7/22/2020,152
7/23/2020,153
7/26/2020,152
7/27/2020,152
7/28/2020,149
7/29/2020,147
7/30/2020,149
8/2/2020,144
8/3/2020,145
8/5/2020,141
